date,price
03.08.2017,52
04.08.2017,52
07.08.2017,52
08.08.2017,52
09.08.2017,52
10.08.2017,51
11.08.2017,52
14.08.2017,50
15.08.2017,50
16.08.2017,50
17.08.2017,51
18.08.2017,52
21.08.2017,51
22.08.2017,51
23.08.2017,52
24.08.2017,52
25.08.2017,52
28.08.2017,51
29.08.2017,52
30.08.2017,50
31.08.2017,52
01.09.2017,52
04.09.2017,52
05.09.2017,53
06.09.2017,54
07.09.2017,54
08.09.2017,53
11.09.2017,53
12.09.2017,54
13.09.2017,55
14.09.2017,55
15.09.2017,55
18.09.2017,55
19.09.2017,55
20.09.2017,56
21.09.2017,56
22.09.2017,56
25.09.2017,59
26.09.2017,58
27.09.2017,57
28.09.2017,57
29.09.2017,57
02.10.2017,56
03.10.2017,56
04.10.2017,55
05.10.2017,57
06.10.2017,55
09.10.2017,55
10.10.2017,56
11.10.2017,56
12.10.2017,56
13.10.2017,57
16.10.2017,57
17.10.2017,57
18.10.2017,58
19.10.2017,57
20.10.2017,57
23.10.2017,57
24.10.2017,58
25.10.2017,58
26.10.2017,59
27.10.2017,60
30.10.2017,60
31.10.2017,61
01.11.2017,60
02.11.2017,60
03.11.2017,62
06.11.2017,64
07.11.2017,63
08.11.2017,63
09.11.2017,63
10.11.2017,63
13.11.2017,63
14.11.2017,60
15.11.2017,61
16.11.2017,61
17.11.2017,61
20.11.2017,61
21.11.2017,62
22.11.2017,62
23.11.2017,63
24.11.2017,63
27.11.2017,63
28.11.2017,63
29.11.2017,63
30.11.2017,63
01.12.2017,64
04.12.2017,63
05.12.2017,63
06.12.2017,62
07.12.2017,62
08.12.2017,63
11.12.2017,65
12.12.2017,64
13.12.2017,63
14.12.2017,63
15.12.2017,63
18.12.2017,64
19.12.2017,63
20.12.2017,64
21.12.2017,64
22.12.2017,64
27.12.2017,66
28.12.2017,66
29.12.2017,66
02.01.2018,66
03.01.2018,67
04.01.2018,68
05.01.2018,68
08.01.2018,68
09.01.2018,69
10.01.2018,69
11.01.2018,70
12.01.2018,69
15.01.2018,70
16.01.2018,69
17.01.2018,69
18.01.2018,69
19.01.2018,68
22.01.2018,69
23.01.2018,69
24.01.2018,69
25.01.2018,71
26.01.2018,70
29.01.2018,68
30.01.2018,67
31.01.2018,67
01.02.2018,68
02.02.2018,67
05.02.2018,67
06.02.2018,66
07.02.2018,65
08.02.2018,64
09.02.2018,63
12.02.2018,62
13.02.2018,61
14.02.2018,62
15.02.2018,62
16.02.2018,64
19.02.2018,64
20.02.2018,64
21.02.2018,64
22.02.2018,66
23.02.2018,67
26.02.2018,67
27.02.2018,67
28.02.2018,66
01.03.2018,64
02.03.2018,64
05.03.2018,65
06.03.2018,65
07.03.2018,65
08.03.2018,63
09.03.2018,65
12.03.2018,64
13.03.2018,64
14.03.2018,63
15.03.2018,63
16.03.2018,64
19.03.2018,64
20.03.2018,66
21.03.2018,68
22.03.2018,68
23.03.2018,69
26.03.2018,68
27.03.2018,68
28.03.2018,68
29.03.2018,69
03.04.2018,69
04.04.2018,66
05.04.2018,66
06.04.2018,66
09.04.2018,68
10.04.2018,70
11.04.2018,72
12.04.2018,71
13.04.2018,73
16.04.2018,72
17.04.2018,71
18.04.2018,73
19.04.2018,74
20.04.2018,74
23.04.2018,74
24.04.2018,75
25.04.2018,73
26.04.2018,75
27.04.2018,75
30.04.2018,75
01.05.2018,74
02.05.2018,73
03.05.2018,73
04.05.2018,74
08.05.2018,74
09.05.2018,77
10.05.2018,77
11.05.2018,77
14.05.2018,78
15.05.2018,78
16.05.2018,78
17.05.2018,80
18.05.2018,78
21.05.2018,78
22.05.2018,80
23.05.2018,78
24.05.2018,78
25.05.2018,76
29.05.2018,74
30.05.2018,75
31.05.2018,76
01.06.2018,74
04.06.2018,73
05.06.2018,72
06.06.2018,73
07.06.2018,75
08.06.2018,75
11.06.2018,74
12.06.2018,74
13.06.2018,75
14.06.2018,74
15.06.2018,72
18.06.2018,74
19.06.2018,74
20.06.2018,74
21.06.2018,72
22.06.2018,73
25.06.2018,72
26.06.2018,73
27.06.2018,76
28.06.2018,76
29.06.2018,77
02.07.2018,76
03.07.2018,75
04.07.2018,76
05.07.2018,77
06.07.2018,74
09.07.2018,77
10.07.2018,77
11.07.2018,75
12.07.2018,72
13.07.2018,74
16.07.2018,71
17.07.2018,70
18.07.2018,70
19.07.2018,71
20.07.2018,71
23.07.2018,73
24.07.2018,73
25.07.2018,73
26.07.2018,74
27.07.2018,74
30.07.2018,74
31.07.2018,74
01.08.2018,72
02.08.2018,72
03.08.2018,72
06.08.2018,72
07.08.2018,72
08.08.2018,70
09.08.2018,70
10.08.2018,71
13.08.2018,70
14.08.2018,70
15.08.2018,68
16.08.2018,69
17.08.2018,70
20.08.2018,71
21.08.2018,71
22.08.2018,72
23.08.2018,73
24.08.2018,74
27.08.2018,74
28.08.2018,75
29.08.2018,76
30.08.2018,77
31.08.2018,76
03.09.2018,77
04.09.2018,77
05.09.2018,76
06.09.2018,75
07.09.2018,75
10.09.2018,76
11.09.2018,78
12.09.2018,80
13.09.2018,77
14.09.2018,77
17.09.2018,78
18.09.2018,79
19.09.2018,79
20.09.2018,79
21.09.2018,78
24.09.2018,80
25.09.2018,82
26.09.2018,81
27.09.2018,81
28.09.2018,82
01.10.2018,84
02.10.2018,85
03.10.2018,85
04.10.2018,86
05.10.2018,85
08.10.2018,84
09.10.2018,85
10.10.2018,83
11.10.2018,81
12.10.2018,80
15.10.2018,80
16.10.2018,80
17.10.2018,79
18.10.2018,80
19.10.2018,80
22.10.2018,80
23.10.2018,78
24.10.2018,77
25.10.2018,77
26.10.2018,77
29.10.2018,77
30.10.2018,75
31.10.2018,74
01.11.2018,71
02.11.2018,71
05.11.2018,72
06.11.2018,70
07.11.2018,70
08.11.2018,69
09.11.2018,69
12.11.2018,69
13.11.2018,65
14.11.2018,64
15.11.2018,65
16.11.2018,65
19.11.2018,64
20.11.2018,61
21.11.2018,61
22.11.2018,61
23.11.2018,57
26.11.2018,59
27.11.2018,59
28.11.2018,57
29.11.2018,58
30.11.2018,57
03.12.2018,60
04.12.2018,61
05.12.2018,61
06.12.2018,57
07.12.2018,61
10.12.2018,60
11.12.2018,59
12.12.2018,59
13.12.2018,59
14.12.2018,58
17.12.2018,57
18.12.2018,55
19.12.2018,55
20.12.2018,52
21.12.2018,51
27.12.2018,51
28.12.2018,50
02.01.2019,54
03.01.2019,53
04.01.2019,55
07.01.2019,57
08.01.2019,56
09.01.2019,59
10.01.2019,60
11.01.2019,59
14.01.2019,58
15.01.2019,58
16.01.2019,59
17.01.2019,59
18.01.2019,62
21.01.2019,62
22.01.2019,60
23.01.2019,61
24.01.2019,61
25.01.2019,61
28.01.2019,59
29.01.2019,60
30.01.2019,61
31.01.2019,62
01.02.2019,61
04.02.2019,62
05.02.2019,61
06.02.2019,62
07.02.2019,61
08.02.2019,61
11.02.2019,61
12.02.2019,62
13.02.2019,63
14.02.2019,64
15.02.2019,65
18.02.2019,66
19.02.2019,65
20.02.2019,66
21.02.2019,66
22.02.2019,66
25.02.2019,64
26.02.2019,64
27.02.2019,65
28.02.2019,65
01.03.2019,63
04.03.2019,64
05.03.2019,64
06.03.2019,64
07.03.2019,64
08.03.2019,65
11.03.2019,65
12.03.2019,65
13.03.2019,65
14.03.2019,66
15.03.2019,66
18.03.2019,66
19.03.2019,67
20.03.2019,68
21.03.2019,68
22.03.2019,66
25.03.2019,67
26.03.2019,67
27.03.2019,67
28.03.2019,66
29.03.2019,67
01.04.2019,69
02.04.2019,69
03.04.2019,69
04.04.2019,69
05.04.2019,69
08.04.2019,71
09.04.2019,71
10.04.2019,71
11.04.2019,71
12.04.2019,71
15.04.2019,70
16.04.2019,70
17.04.2019,71
18.04.2019,70
23.04.2019,74
24.04.2019,73
25.04.2019,74
26.04.2019,71
29.04.2019,71
30.04.2019,72
01.05.2019,72
02.05.2019,70
03.05.2019,71
06.05.2019,71
07.05.2019,70
08.05.2019,71
09.05.2019,70
10.05.2019,71
13.05.2019,72
14.05.2019,72
15.05.2019,73
16.05.2019,74
17.05.2019,73
20.05.2019,73
21.05.2019,72
